,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,390.0,952,952,0,1.8266661000000006
1, 0, 0, 0, 0, 80.0, 440, 1392, 1, 0.8639326
2, 0, 0, 0, 0, 105.0, 583, 1975, 2, 1.149682499999999
3, 0, 0, 0, 0, 75.0, 499, 2474, 3, 0.9905896999999992
4, 0, 0, 0, 0, 135.0, 620, 3094, 4, 1.2156696999999994
5, 0, 0, 0, 0, 105.0, 653, 3747, 5, 1.2900366000000005
6, 0, 0, 0, 0, 75.0, 612, 4359, 6, 1.2242727000000002
7, 0, 0, 0, 0, 425.0, 907, 5266, 7, 1.7481930000000006
8, 0, 0, 0, 0, 185.0, 697, 5963, 8, 1.318174599999999
9, 0, 0, 0, 0, 210.0, 809, 6772, 9, 1.5634537000000002
10, 0, 0, 0, 0, 95.0, 774, 7546, 10, 1.5410161000000002
11, 0, 0, 0, 0, 290.0, 841, 8387, 11, 1.6519022999999997
12, 0, 0, 0, 0, 50.0, 387, 8774, 12, 0.8489480999999977
13, 0, 0, 0, 0, 165.0, 777, 9551, 13, 1.5111474000000022
14, 0, 0, 0, 0, 155.0, 724, 10275, 14, 1.4095125999999993
15, 0, 0, 0, 0, 210.0, 913, 11188, 15, 1.7525925999999998
16, 0, 0, 0, 0, 75.0, 356, 11544, 16, 0.7028909999999975
17, 0, 0, 0, 0, 45.0, 476, 12020, 17, 0.9684998000000036
18, 0, 0, 0, 0, 75.0, 573, 12593, 18, 1.145948599999997
19, 0, 0, 0, 0, 125.0, 673, 13266, 19, 1.3431779000000006
20, 0, 0, 0, 0, 45.0, 403, 13669, 20, 0.8038144000000003
21, 0, 0, 0, 0, 155.0, 790, 14459, 21, 1.5717578999999944
22, 0, 0, 0, 0, 130.0, 554, 15013, 22, 1.1074920999999947
23, 0, 0, 0, 0, 120.0, 666, 15679, 23, 1.3230216999999982
24, 0, 0, 0, 0, 45.0, 399, 16078, 24, 0.8473673000000019
25, 0, 0, 0, 0, 85.0, 521, 16599, 25, 1.0117158999999987
26, 0, 0, 0, 0, 180.0, 725, 17324, 26, 1.4358210999999983
27, 0, 0, 0, 0, 640.0, 1352, 18676, 27, 2.6336312999999976
28, 0, 0, 0, 0, 185.0, 736, 19412, 28, 1.4471610999999953
29, 0, 0, 0, 0, 120.0, 665, 20077, 29, 1.318296200000006
30, 0, 0, 0, 0, 135.0, 774, 20851, 30, 1.5230099999999993
31, 0, 0, 0, 0, 225.0, 802, 21653, 31, 1.5986940000000018
32, 0, 0, 0, 0, 210.0, 1499, 23152, 32, 2.8734707999999998
33, 0, 0, 0, 0, 180.0, 810, 23962, 33, 1.5922197999999952
34, 0, 0, 0, 0, 80.0, 510, 24472, 34, 1.0154026000000016
35, 0, 0, 0, 0, 45.0, 391, 24863, 35, 0.7730572000000038
36, 0, 0, 0, 0, 75.0, 542, 25405, 36, 1.0987388999999936
37, 0, 0, 0, 0, 180.0, 715, 26120, 37, 1.3971285000000009
38, 0, 0, 0, 0, 65.0, 496, 26616, 38, 0.9772851000000031
39, 0, 0, 0, 0, 160.0, 962, 27578, 39, 1.932475899999993
40, 0, 0, 0, 0, 30.0, 620, 28198, 40, 1.2333247999999912
41, 0, 0, 0, 0, 215.0, 811, 29009, 41, 1.5919331000000057
42, 0, 0, 0, 0, 80.0, 626, 29635, 42, 1.2786303000000032
43, 0, 0, 0, 0, 120.0, 659, 30294, 43, 1.3132957999999917
44, 0, 0, 0, 0, 90.0, 503, 30797, 44, 1.0197205999999994
45, 0, 0, 0, 0, 105.0, 697, 31494, 45, 1.3666082000000017
