,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,260.0,795,795,0,1.8188750999999996
1, 0, 0, 0, 0, 150.0, 759, 1554, 1, 1.5355471000000005
2, 0, 0, 0, 0, 75.0, 485, 2039, 2, 0.9914085999999998
3, 0, 0, 0, 0, 60.0, 540, 2579, 3, 1.1535263999999987
4, 0, 0, 0, 0, 230.0, 993, 3572, 4, 2.1031891000000016
5, 0, 0, 0, 0, 35.0, 443, 4015, 5, 0.9413624999999968
6, 0, 0, 0, 0, 290.0, 1370, 5385, 6, 2.8191802999999993
7, 0, 0, 0, 0, 120.0, 693, 6078, 7, 1.4395877000000006
8, 0, 0, 0, 0, 35.0, 499, 6577, 8, 1.0464944000000003
9, 0, 0, 0, 0, 105.0, 585, 7162, 9, 1.2175797000000017
10, 0, 0, 0, 0, 180.0, 631, 7793, 10, 1.3067571999999998
11, 0, 0, 0, 0, 180.0, 675, 8468, 11, 1.3848648999999966
12, 0, 0, 0, 0, 75.0, 639, 9107, 12, 1.2998562999999983
13, 0, 0, 0, 0, 155.0, 646, 9753, 13, 1.3512387000000032
14, 0, 0, 0, 0, 105.0, 525, 10278, 14, 1.0797032999999985
15, 0, 0, 0, 0, 185.0, 860, 11138, 15, 1.7824151000000015
16, 0, 0, 0, 0, 40.0, 394, 11532, 16, 0.8326051999999962
17, 0, 0, 0, 0, 225.0, 1078, 12610, 17, 2.1931030000000007
18, 0, 0, 0, 0, 150.0, 555, 13165, 18, 1.134872999999999
19, 0, 0, 0, 0, 205.0, 883, 14048, 19, 1.858325899999997
20, 0, 0, 0, 0, 135.0, 592, 14640, 20, 1.2573572000000013
21, 0, 0, 0, 0, 80.0, 556, 15196, 21, 1.1466339999999988
22, 0, 0, 0, 0, 90.0, 521, 15717, 22, 1.3328168999999974
23, 0, 0, 0, 0, 210.0, 798, 16515, 23, 1.7444017000000045
24, 0, 0, 0, 0, 215.0, 703, 17218, 24, 1.4917552999999941
25, 0, 0, 0, 0, 230.0, 963, 18181, 25, 2.065818
26, 0, 0, 0, 0, 65.0, 402, 18583, 26, 0.8370961999999977
27, 0, 0, 0, 0, 110.0, 684, 19267, 27, 1.3940776999999969
28, 0, 0, 0, 0, 120.0, 674, 19941, 28, 1.3065882000000002
29, 0, 0, 0, 0, 415.0, 861, 20802, 29, 1.7298197999999942
30, 0, 0, 0, 0, 165.0, 615, 21417, 30, 1.2513396000000014
31, 0, 0, 0, 0, 170.0, 761, 22178, 31, 1.5370396
32, 0, 0, 0, 0, 155.0, 567, 22745, 32, 1.1856108999999933
33, 0, 0, 0, 0, 165.0, 958, 23703, 33, 1.9551980000000029
34, 0, 0, 0, 0, 65.0, 559, 24262, 34, 1.1439497999999944
35, 0, 0, 0, 0, 315.0, 934, 25196, 35, 1.8805630000000022
36, 0, 0, 0, 0, 210.0, 784, 25980, 36, 1.5995617999999965
37, 0, 0, 0, 0, 75.0, 383, 26363, 37, 0.7999454999999998
38, 0, 0, 0, 0, 215.0, 883, 27246, 38, 1.7771052999999952
39, 0, 0, 0, 0, 45.0, 410, 27656, 39, 0.8489227000000028
40, 0, 0, 0, 0, 55.0, 611, 28267, 40, 1.250811799999994
41, 0, 0, 0, 0, 45.0, 492, 28759, 41, 1.0082945000000052
42, 0, 0, 0, 0, 55.0, 384, 29143, 42, 0.7763556000000023
43, 0, 0, 0, 0, 135.0, 622, 29765, 43, 1.240134800000007
44, 0, 0, 0, 0, 270.0, 993, 30758, 44, 1.9707204999999988
45, 0, 0, 0, 0, 360.0, 1114, 31872, 45, 2.2011022000000082
46, 0, 0, 0, 0, 225.0, 797, 32669, 46, 1.6494104000000078
47, 0, 0, 0, 0, 45.0, 586, 33255, 47, 1.210047099999997
48, 0, 0, 0, 0, 110.0, 588, 33843, 48, 1.2714025000000078
