,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,50.0,387,387,0,0.8261292000000005
1, 0, 0, 0, 0, 285.0, 1402, 1789, 1, 2.793507
2, 0, 0, 0, 0, 30.0, 449, 2238, 2, 0.9126972000000002
3, 0, 0, 0, 0, 220.0, 946, 3184, 3, 1.952876999999999
4, 0, 0, 0, 0, 110.0, 494, 3678, 4, 1.0609239000000006
5, 0, 0, 0, 0, 255.0, 934, 4612, 5, 1.9160416999999974
6, 0, 0, 0, 0, 85.0, 662, 5274, 6, 1.3983111999999984
7, 0, 0, 0, 0, 215.0, 730, 6004, 7, 1.4964134000000016
8, 0, 0, 0, 0, 50.0, 514, 6518, 8, 1.0872385000000016
9, 0, 0, 0, 0, 90.0, 459, 6977, 9, 0.9841461000000002
10, 0, 0, 0, 0, 35.0, 480, 7457, 10, 1.0150571
11, 0, 0, 0, 0, 310.0, 1113, 8570, 11, 2.3242297999999977
12, 0, 0, 0, 0, 110.0, 606, 9176, 12, 1.2731084999999993
13, 0, 0, 0, 0, 210.0, 824, 10000, 13, 1.7665203999999974
14, 0, 0, 0, 0, 120.0, 612, 10612, 14, 1.2794346999999995
15, 0, 0, 0, 0, 320.0, 760, 11372, 15, 1.5888664999999982
16, 0, 0, 0, 0, 180.0, 759, 12131, 16, 1.6006056000000015
17, 0, 0, 0, 0, 105.0, 621, 12752, 17, 1.288367700000002
18, 0, 0, 0, 0, 105.0, 637, 13389, 18, 1.306984100000001
19, 0, 0, 0, 0, 20.0, 494, 13883, 19, 1.0623328
20, 0, 0, 0, 0, 410.0, 902, 14785, 20, 1.7946605000000062
21, 0, 0, 0, 0, 155.0, 980, 15765, 21, 1.9351034999999968
22, 0, 0, 0, 0, 90.0, 481, 16246, 22, 1.011135699999997
23, 0, 0, 0, 0, 135.0, 690, 16936, 23, 1.4580921000000018
24, 0, 0, 0, 0, 15.0, 478, 17414, 24, 0.9798298999999986
25, 0, 0, 0, 0, 145.0, 864, 18278, 25, 1.7991481999999976
26, 0, 0, 0, 0, 105.0, 501, 18779, 26, 1.0579217999999955
27, 0, 0, 0, 0, 120.0, 650, 19429, 27, 1.392901699999996
28, 0, 0, 0, 0, 65.0, 601, 20030, 28, 1.2473257999999987
29, 0, 0, 0, 0, 155.0, 775, 20805, 29, 1.5452841000000035
30, 0, 0, 0, 0, 0.0, 585, 21390, 30, 1.2161666999999952
31, 0, 0, 0, 0, 180.0, 622, 22012, 31, 1.2900069999999957
32, 0, 0, 0, 0, 95.0, 664, 22676, 32, 1.4221906000000004
33, 0, 0, 0, 0, 30.0, 395, 23071, 33, 0.8188789000000014
34, 0, 0, 0, 0, 110.0, 558, 23629, 34, 1.1202419999999975
35, 0, 0, 0, 0, 155.0, 811, 24440, 35, 1.6729550999999958
36, 0, 0, 0, 0, 80.0, 501, 24941, 36, 1.0453237000000044
37, 0, 0, 0, 0, 105.0, 497, 25438, 37, 1.0239461000000034
38, 0, 0, 0, 0, 180.0, 772, 26210, 38, 1.5533138999999991
39, 0, 0, 0, 0, 150.0, 709, 26919, 39, 1.4822058000000027
40, 0, 0, 0, 0, 135.0, 715, 27634, 40, 1.4451554999999985
41, 0, 0, 0, 0, 160.0, 590, 28224, 41, 1.2043895000000049
42, 0, 0, 0, 0, 105.0, 433, 28657, 42, 0.9081113999999957
43, 0, 0, 0, 0, 185.0, 804, 29461, 43, 1.599445000000003
44, 0, 0, 0, 0, 160.0, 810, 30271, 44, 1.65845019999999
45, 0, 0, 0, 0, 240.0, 874, 31145, 45, 1.7466295000000116
46, 0, 0, 0, 0, 105.0, 608, 31753, 46, 1.2276801000000006
47, 0, 0, 0, 0, 155.0, 741, 32494, 47, 1.5284452000000073
48, 0, 0, 0, 0, 220.0, 1085, 33579, 48, 2.1316744000000085
49, 0, 0, 0, 0, 155.0, 623, 34202, 49, 1.2800238999999891
50, 0, 0, 0, 0, 80.0, 586, 34788, 50, 1.2346872000000104
51, 0, 0, 0, 0, 165.0, 584, 35372, 51, 1.2621460999999954
52, 0, 0, 0, 0, 225.0, 947, 36319, 52, 1.928711199999995
53, 0, 0, 0, 0, 180.0, 651, 36970, 53, 1.3196030000000007
54, 0, 0, 0, 0, 55.0, 587, 37557, 54, 1.193473400000002
55, 0, 0, 0, 0, 125.0, 600, 38157, 55, 1.2128817000000112
56, 0, 0, 0, 0, 210.0, 701, 38858, 56, 1.4332548000000003
57, 0, 0, 0, 0, 120.0, 683, 39541, 57, 1.3889276000000024
58, 0, 0, 0, 0, 415.0, 1190, 40731, 58, 2.363841199999996
59, 0, 0, 0, 0, 180.0, 694, 41425, 59, 1.3954233999999985
60, 0, 0, 0, 0, 120.0, 598, 42023, 60, 1.2393074000000013
61, 0, 0, 0, 0, 60.0, 393, 42416, 61, 0.8129567000000009
62, 0, 0, 0, 0, 55.0, 592, 43008, 62, 1.2301281000000017
63, 0, 0, 0, 0, 265.0, 957, 43965, 63, 1.9531233999999955
64, 0, 0, 0, 0, 110.0, 571, 44536, 64, 1.180017499999991
65, 0, 0, 0, 0, 120.0, 792, 45328, 65, 1.6407700999999975
66, 0, 0, 0, 0, 130.0, 657, 45985, 66, 1.3667023
67, 0, 0, 0, 0, 105.0, 389, 46374, 67, 0.8057297999999946
68, 0, 0, 0, 0, 200.0, 828, 47202, 68, 1.6721260999999998
69, 0, 0, 0, 0, 260.0, 1020, 48222, 69, 2.0507948999999996
70, 0, 0, 0, 0, 155.0, 733, 48955, 70, 1.5235843000000102
71, 0, 0, 0, 0, 75.0, 514, 49469, 71, 1.0989167999999978
72, 0, 0, 0, 0, 360.0, 832, 50301, 72, 1.7422355000000067
73, 0, 0, 0, 0, 210.0, 812, 51113, 73, 1.6459820999999977
74, 0, 0, 0, 0, 75.0, 794, 51907, 74, 1.6036392999999975
75, 0, 0, 0, 0, 180.0, 709, 52616, 75, 1.4653641000000022
