episode,Cone L7,ConeInv L7,HourG L7,HourGInv L7,Line L7,Cone L6,ConeInv L6,HourG L6,HourGInv L6,Line L6,Cone L5,ConeInv L5,HourG L5,HourGInv L5,Line L5,Cone L4,ConeInv L4,HourG L4,HourGInv L4,Line L4,Cone L3,ConeInv L3,HourG L3,HourGInv L3,Line L3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6.724948054,30.6591439,22.18342099,29.03689385,11.43229502,7.245040034,45.33889341,0,53.81289695,45.34111445,8.056391521,17.95868689,32.42010013,16.84771954,49.49234193,0,132.8967039,112.783911,79.31889551,100.9918402,49.80096348,53.67492356,70.13705942,44.38627582,35.47959912
200,7.978594119,31.07060699,22.98268602,33.94057784,11.8839436,7.512554048,45.17693065,65.8894615,55.15736063,46.25269223,8.904921919,19.63028737,34.83654734,17.07462907,48.57995588,13.2779229,127.9435059,106.51621,81.59983063,101.0177703,50.26248876,53.72271421,74.75035012,44.82931264,35.57109286
250,9.227761433,30.05942484,23.47495041,33.36957823,12.29690687,8.584582312,47.35927882,64.96603435,58.94073453,45.55804289,9.764330221,20.04585144,35.32562949,19.46816535,49.75383091,13.67947753,127.3266562,104.7837942,81.94882542,99.76888457,48.35321791,54.62948084,75.95137459,46.13649447,34.62409901
300,10.22549133,29.76909405,24.310472,33.54128698,13.08587042,8.768366153,46.70021873,66.05140364,58.3057146,46.6998926,10.50970341,20.70029185,35.83995751,19.71388205,52.09201351,14.67625516,124.9717514,102.3567537,83.05201219,97.74930287,47.87391608,54.9007632,74.33812398,46.28963809,35.02094238
350,12.25601428,30.31082741,25.17122417,34.19765119,13.88493608,9.429468801,47.99236177,67.24793065,57.08979294,46.41361089,11.75959491,21.75148458,36.85542139,20.70777721,51.57310571,15.56243665,123.9103161,100.8359276,81.28408812,96.73761486,48.079996,56.24973752,75.5527975,51.21828863,37.55039379
400,13.03151216,31.26368058,25.49889155,33.65301593,14.70330778,9.439786823,47.48636047,69.49949665,59.57943496,45.37047082,12.40356356,23.02653974,37.78648585,23.99328681,53.2037756,16.23098015,121.669318,99.66191217,78.95439605,95.11282734,47.65132459,56.1743461,78.08506554,50.30345381,37.02182109
450,14.39542467,31.77541472,26.32633241,34.83183315,16.63852508,10.63744672,47.22135044,69.85202115,59.42929542,44.96562381,13.21706071,23.25316308,39.06892548,24.56669912,52.2702904,17.42373103,119.7250961,98.37872956,77.57140077,98.90981056,47.64711141,54.36032935,77.24940205,50.98055434,36.06189351
