episode,Cone L7,ConeInv L7,HourG L7,HourGInv L7,Line L7,Cone L6,ConeInv L6,HourG L6,HourGInv L6,Line L6,Cone L5,ConeInv L5,HourG L5,HourGInv L5,Line L5,Cone L4,ConeInv L4,HourG L4,HourGInv L4,Line L4,Cone L3,ConeInv L3,HourG L3,HourGInv L3,Line L3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1.936313873,3.805383651,1.35031323,2.371669723,3.548284409,1.906110389,1.928389447,0,0,12.06124266,0.973971548,2.56635192,4.621277815,4.583889011,15.96725624,0,28.02454526,11.49768586,20.89594937,24.52212378,3.074747359,1.265233105,14.59663156,2.729855706,8.901678129
150,7.274351255,30.71150581,22.29673315,30.90076952,11.58274983,7.268943293,44.71593399,62.01250381,54.27638847,46.0916092,8.512186177,18.88731788,33.98962811,17.59997411,49.01994243,12.32658921,130.9992835,109.0025563,81.40690642,99.80445244,49.47407896,51.75747797,72.74913697,44.7525043,34.80161545
200,8.949034253,30.40747906,23.04872498,33.69561252,12.10956033,8.031859247,46.38505831,65.19077103,56.49920728,45.57377115,9.156458346,19.58844597,35.41765341,18.59601416,49.05773018,13.40478777,127.4494301,106.1586956,81.19452241,100.443886,49.12647779,54.3322715,75.28224927,45.99288142,35.39984398
250,9.751542101,29.98473861,24.22442331,33.51100494,12.6503492,8.741888178,47.12954787,65.35151652,58.37690816,45.97448322,10.12663289,20.49744352,35.69948755,19.66810593,50.8982143,14.39743046,126.5787769,103.0798533,82.69069884,98.17397001,48.23432802,54.25466962,74.19805589,46.21583941,34.49315853
300,10.90729563,29.78825803,24.69135197,33.83735284,13.39519972,9.063121616,47.29889543,66.57941693,57.38397641,46.90720599,10.93670428,21.32566729,36.9691666,20.06032563,51.80477188,15.15377684,124.6247515,101.7838373,82.09067593,97.36847305,47.92851536,56.2995339,75.09722294,48.18703587,35.80455039
350,12.55520657,31.21971762,25.32872804,34.05127888,14.22851292,9.574821344,47.43431473,68.21714312,58.23736106,45.93416344,12.04703808,22.61226278,37.85508224,21.78857076,52.15339237,15.96210318,122.8867262,100.0447304,79.59581036,96.43421908,47.80184544,55.8358974,76.47307921,50.83263896,37.07435475
400,13.93151124,31.49662906,26.06815735,34.01060939,15.81441256,10.00480963,47.51327126,69.38536417,59.62397726,45.29301395,12.85806079,23.2309998,37.95941484,24.09085659,52.81485528,16.95865062,120.9684656,98.69055895,78.18069302,97.04949478,47.5779621,55.39743974,77.92474717,50.70504268,36.60633662
450,15.98654972,31.91343053,26.25009131,35.60316401,17.03582743,10.95801498,47.61393239,70.10171782,59.31026421,46.64192356,13.47704016,23.69103584,39.45284756,24.95988845,52.10073637,17.88688735,117.8303972,97.25028129,77.17066253,98.00945691,47.67897066,55.29203645,76.84805416,50.56059466,36.46983253
