,episode,Cone L7,ConeInv L7,HourG L7,HourGInv L7,Line L7,Cone L6,ConeInv L6,HourG L6,HourGInv L6,Line L6,Cone L5,ConeInv L5,HourG L5,HourGInv L5,Line L5,Cone L4,ConeInv L4,HourG L4,HourGInv L4,Line L4,Cone L3,ConeInv L3,HourG L3,HourGInv L3,Line L3
0,0,621.0,604.0,479.0,1164.0,833.0,646.0,508.0,685.0,504.0,380.0,795.0,630.0,387.0,532.0,1012.0,635.0,587.0,478.0,952.0,834.0,437.0,415,399.0,539.0,549.0
1,1,781.0,523.0,832.0,397.0,649.0,1475.0,1256.0,1169.0,376.0,431.0,759.0,644.0,1402.0,399.0,526.0,647.0,620.0,749.0,440.0,641.0,894.0,850,502.0,395.0,403.0
2,2,668.0,714.0,783.0,385.0,782.0,366.0,659.0,560.0,730.0,733.0,485.0,727.0,449.0,1212.0,696.0,925.0,439.0,529.0,583.0,686.0,383.0,578,674.0,972.0,732.0
3,3,727.0,641.0,463.0,960.0,681.0,1032.0,1275.0,657.0,710.0,843.0,540.0,860.0,946.0,614.0,628.0,583.0,587.0,542.0,499.0,953.0,827.0,669,539.0,984.0,518.0
4,4,651.0,1429.0,380.0,674.0,379.0,602.0,719.0,586.0,613.0,662.0,993.0,778.0,494.0,798.0,392.0,660.0,915.0,390.0,620.0,632.0,600.0,614,748.0,1204.0,496.0
5,5,1356.0,445.0,381.0,395.0,611.0,544.0,661.0,600.0,729.0,403.0,443.0,536.0,934.0,761.0,568.0,516.0,550.0,825.0,653.0,373.0,986.0,401,408.0,399.0,676.0
6,6,812.0,566.0,537.0,703.0,654.0,963.0,509.0,383.0,409.0,580.0,1370.0,581.0,662.0,512.0,386.0,686.0,504.0,628.0,612.0,512.0,757.0,650,375.0,398.0,527.0
7,7,657.0,670.0,568.0,687.0,665.0,642.0,914.0,782.0,919.0,928.0,693.0,718.0,730.0,807.0,747.0,355.0,839.0,858.0,907.0,698.0,483.0,542,383.0,673.0,744.0
8,8,704.0,424.0,823.0,633.0,621.0,704.0,380.0,768.0,507.0,646.0,499.0,622.0,514.0,1744.0,1000.0,557.0,459.0,721.0,697.0,1016.0,1266.0,806,616.0,504.0,735.0
9,9,789.0,808.0,775.0,393.0,822.0,487.0,506.0,772.0,502.0,1085.0,585.0,859.0,459.0,489.0,1368.0,380.0,513.0,1444.0,809.0,411.0,557.0,712,968.0,556.0,663.0
10,10,887.0,755.0,665.0,588.0,419.0,580.0,754.0,516.0,636.0,936.0,631.0,512.0,480.0,757.0,936.0,473.0,836.0,719.0,774.0,442.0,710.0,520,1100.0,499.0,589.0
11,11,616.0,1015.0,827.0,707.0,625.0,760.0,585.0,603.0,816.0,653.0,675.0,646.0,1113.0,688.0,463.0,704.0,666.0,539.0,841.0,685.0,947.0,535,477.0,745.0,597.0
12,12,631.0,982.0,675.0,732.0,985.0,637.0,751.0,672.0,529.0,453.0,639.0,385.0,606.0,774.0,877.0,406.0,561.0,814.0,387.0,618.0,607.0,564,606.0,601.0,636.0
13,13,546.0,460.0,946.0,587.0,781.0,952.0,369.0,559.0,399.0,444.0,646.0,342.0,824.0,720.0,808.0,597.0,1103.0,668.0,777.0,728.0,1015.0,491,955.0,377.0,1018.0
14,14,902.0,994.0,433.0,413.0,929.0,633.0,583.0,381.0,759.0,490.0,525.0,588.0,612.0,818.0,630.0,758.0,547.0,518.0,724.0,558.0,760.0,568,1382.0,935.0,400.0
15,15,806.0,837.0,1028.0,929.0,872.0,799.0,364.0,664.0,810.0,736.0,860.0,494.0,760.0,1003.0,615.0,646.0,390.0,693.0,913.0,818.0,790.0,575,631.0,929.0,1078.0
