episode,7 Cone,7 Cone Inv,7 HourGlass,7 HourGlass Inv,7 Line,6 Cone,6 Cone Inv,6 HourGlass,6 HourGlass Inv,6 Line,5 Cone,5 Cone Inv,5 HourGlass,5 HourGlass Inv,5 Line,4 Cone,4 Cone Inv,4 HourGlass,4 HourGlass Inv,4 Line,3 Cone,3 Cone Inv,3 HourGlass,3 HourGlass Inv,3 Line
0,171.95,145.8,141.7,141.6,154.9,164.95,155.55,153.05,136.5,147.45,149.6,144.15,143.85,159.95,179.35,157.2,150.25,164.05,159.25,142,153.2,144.25,158.15,160.65,150
100,168.85,149.85,149,126.75,169.75,142.6,145.7,139.15,145.05,167.7,141.5,166.05,151.45,170.75,149.35,169.1,175.85,171.5,164,161.45,174.8,128,152.75,151.2,164.45
200,171.4,173.45,169.25,149.45,166.5,161.05,143.65,156,156.4,158.15,143.5,162.25,166.5,169.15,161.4,148.1,146.2,160.85,132.15,147,144.5,157.65,136.5,151.7,165.75
300,177.75,154.05,145.35,178.4,179.7,173.8,170.5,142.55,141.85,157.9,176.05,163,152.25,212.9,175.9,128,149.6,161.7,153.35,150.05,124.75,171.25,176.75,154.85,153.8
400,200.8,162.35,183.15,169.3,198.3,203.25,184.55,147.2,161.65,189.35,199.9,168.15,168.75,209.65,178.3,168.3,157.9,173.45,154.95,156.65,153.9,154,156.9,178.15,166.95
500,235.4,160.1,179.55,205.7,242.8,203.35,176.45,160.45,204.95,216,205.25,158.3,181.45,190.6,196.75,153.7,159.85,178,194.4,173.25,163.6,161.05,172.15,182.7,180.75
600,241.4,169.15,183.45,221.6,201.55,216.8,191.85,159.15,197.65,218.75,206.7,192.8,153.4,200.6,197.95,165.2,144.1,156.35,191,184.9,160.5,162.5,158.1,190.4,202.05
700,231.1,183.55,175.6,210.25,233.25,219.65,173.95,188.3,206.1,222.5,238.95,195.3,177.25,276.8,196.25,180.45,146.45,161.5,208.6,194.35,172.4,179.7,180.25,199.15,196.05
800,233.6,191.45,179.05,232.9,208.75,225.3,170.95,164,223.95,225.7,235.6,199.05,192.95,219.25,226.75,181.25,176.2,158,202.8,194.2,169.95,161.45,183.8,186.5,195.45
900,221.15,184.75,207.2,256,230.3,222.45,194.65,175.15,223.05,233.7,233.15,218.75,187.2,241.1,227.75,209.45,171.35,160.65,189.9,184.25,184.7,176.4,160.45,220.2,213.2
1000,234.9,208.65,190.05,236.8,203.75,219.5,212.45,184.15,214,212.4,244.35,210.15,187.95,259.6,235.05,183.3,165.2,181.2,215.95,218.65,204.75,175.55,172.65,196.05,221.6
1100,224,206.3,231.05,233.3,209.3,229.4,202.1,192.75,215.45,228.3,238.7,178,206.6,212.95,210.4,214.6,173.8,197.6,193.6,193.7,203.7,187.8,177.7,223.7,210.85
1200,232.1551724,209,220.65,254.0909091,222.8125,216.7647059,202,226.2,215.8928571,212.9166667,237.5287356,205.15,232.45,280,225.0769231,197.65,179.7,211.85,236.2371134,197.75,211.65,170.2,180.55,167.979798,217.1052632
