episode,7 Cone,7 Cone Inv,7 HourGlass,7 HourGlass Inv,7 Line,6 Cone,6 Cone Inv,6 HourGlass,6 HourGlass Inv,6 Line,5 Cone,5 Cone Inv,5 HourGlass,5 HourGlass Inv,5 Line,4 Cone,4 Cone Inv,4 HourGlass,4 HourGlass Inv,4 Line,3 Cone,3 Cone Inv,3 HourGlass,3 HourGlass Inv,3 Line
0,164.3,155.1,130.9,142,146.8,157.4,149.3,145.4,132.6,150.1,152.8,143.3,140.1,163.6,166.3,126.7,149,139.2,146.2,134.8,153.1,138,144.7,163.7,150.8
50,179.6,136.5,152.5,141.2,163,172.5,161.8,160.7,140.4,144.8,146.4,145,147.6,156.3,192.4,170.2,151.5,188.9,172.3,149.2,153.3,150.5,171.6,157.6,149.2
100,158.8,161.9,153.2,142.3,170.3,160.8,149.2,144.5,146.2,183.6,142.9,168.9,162.1,157.7,149,144.2,156.4,165.8,174.7,148.8,167.4,126,160.2,146.1,160.9
150,181.8,139.7,145.6,109.9,168.6,131.1,144.7,134.9,149.6,150,138.6,164.7,139.5,186.7,149,169,196.8,181.2,152.7,173,182.1,127,146.9,156.4,170.5
200,153.8,180.9,169,131.2,177.6,160,151.2,155.9,149.2,165,140.8,148.1,162.3,164.1,130.6,139.8,142.1,176.3,122.5,139.4,140.6,174.4,150.7,142.1,161.9
250,190.5,163.9,167.7,168.1,149.9,163.4,138.3,159.5,154.6,154.6,146.2,168.5,175.8,174.9,185.8,152.4,153.9,144.4,142.7,154.7,152.7,144.1,119.9,158.4,167.8
300,157.8,153.1,150.1,172.4,187,186,172.6,140.3,140.2,170.8,177.8,185.7,139.4,215.5,168.5,176.9,141.6,154.9,143.3,118.7,140.2,136.2,166.3,165.2,152.1
350,180.9,156.9,143.7,185,178.9,163.8,170.9,145.1,145.3,149.9,178.1,149.3,169.3,215.8,187.1,149.5,153.5,154.1,168.5,183.9,107.8,198.4,187.4,147.5,155.4
400,227.6,158.6,189.3,179.3,178.3,184.7,170.4,112.5,172.9,175.5,205.5,161,143.5,195,158.2,189.4,169.9,194.1,142.8,143.9,146.2,152.1,152.4,174.6,158.8
450,191.3,165.8,177.9,153.9,213.7,222.5,182.3,178.8,146.7,201.6,192.9,173.1,177.6,224.4,199.4,202.6,147.5,172.8,160.8,164.3,159,154.8,163.2,176.8,176.4
500,241,170.7,183.5,180.4,261.8,195.9,187.5,151,198.6,196.9,199.9,168,168.4,181.7,178.6,212.1,167.3,177.5,200.4,187,178.8,147.9,164.3,193.9,155.7
550,214.3,143.7,174.7,227.2,221,194.4,174.7,170.8,212.5,227.4,193.1,145.4,196.2,192.9,204,189.9,152.7,177.9,184.8,162,147.6,175.9,176.1,164.9,201.7
600,244.4,169.4,162.1,226.1,225.3,235.6,163.8,143.2,191.1,203.7,210.3,186.7,154.2,216.3,205.1,186.3,130.2,166.3,167.5,182.1,156.3,174.4,164.9,177.4,191.5
650,239.7,172.2,206.9,222.8,191.4,217.7,215.7,174.5,201.3,230.1,219.2,195.5,160.5,183.2,192.3,215.8,157.2,146.6,228.7,182,162.4,147.4,149.6,200.6,208.5
700,235.9,174.9,143.2,171.6,251.8,228.4,174.4,174,202.4,236.6,231,188.1,151.4,278.2,208.8,233.2,148.7,163.6,167.1,177.5,163.3,136.3,183.8,219.1,194.9
750,221.6,175.1,201.3,247.9,214.3,215.2,178.3,203.8,216.7,200,238,193.7,211.1,267.9,198.1,183.4,146.7,149.9,215.4,206.4,180.4,208.8,180.2,196.9,198
800,232,212.5,191.9,213.2,199.5,253.2,170.6,169.1,236.5,198.9,239.6,217,170.3,224.4,240.7,214,162.2,155.9,212.9,192.1,167.1,176.7,206.4,185,201
850,219.1,177.8,158.8,250.5,208,206,172.3,152.1,215.8,270.5,240.4,189.4,202.9,222.2,204.3,185.9,182.8,169.7,219.4,177.6,165.8,173,175.3,194.3,198.9
900,229.3,201.4,193.1,270.6,223.8,212.1,190.3,169.9,205.2,232.9,266.4,234.5,185.2,218.6,239.3,223.5,182.1,132.8,185.4,196,215.1,160.3,149.5,167.3,189.7
950,237.8,174.1,211,242.5,248.6,227.3,196.8,186.8,236.6,219,198.6,196.8,180.8,255.9,214.7,179.4,172.3,161.9,185.8,169.4,160.8,171.7,164.3,252.9,233.1
1000,235.7,174.3,213.1,232,204.9,243.1,185.1,162.6,206,222.7,229.6,194.5,201,269.7,212.9,207.9,159.5,198.5,212.6,221.7,184.4,171.5,162.6,200.1,217.2
1050,214.3,218.7,188.5,242.3,190.6,195,233.9,199.3,224.5,181.9,240.6,229.1,181.8,253.1,267.4,204.1,165.8,174.2,215.4,216.7,184.8,185.3,183.9,200,219.5
1100,231.1,233.3,231.5,237.2,209.1,214.5,201.4,180.8,212.7,240.7,240.8,209.6,214,201.6,217.1,193.7,176,218.5,171.9,169.9,236.7,161.4,186.2,201.8,208.7
1150,216.7,192.3,222.8,228.1,229.4,257.6,188.9,188.8,228.4,234.1,253.2,174,191.8,222.5,203.9,215.6,175.9,172.5,213.3,229.5,200.2,219.2,164.5,242.6,217.6
1200,244,215.6,229.1,246.1,212.9,228.9,190.1,232,210.8,208.3,220.3,168.9,224.3,266.9117647,213.2,206.6,184.9,200.3,225.9,223.1,206.2,161.4,202.7,197.6,200.7
1250,204.75,220.6,208.1,255.8823529,206,192,231.2,206.6,215,251,248.7755102,232,228.3,,232.4074074,181.2,167,226.6,242.2,173,216.8,158,161.5,166.4,234.3421053
1300,,193.6666667,223.902439,,,,215.2,228.4,,,,181.9,219.9,,,215.8,177.7,209.7,218.3333333,210.2857143,219,216.9,170.7,140.4545455,
1350,,,,,,,186.25,210.2857143,,,,121.6666667,,,,197.5,206.9512195,233.4615385,,,231.2,163.9,202,,
1400,,,,,,,,,,,,,,,,,,,,,,194.1666667,,,
